Syt3,,,HISTORY,,,,CAGE COUNT:,,15,,SAC ANIMAL: Ctrl + D,,
SAC,Rack no.,Cage Tag,Unique ID,Mouseline,ID,Sex,Ear notch,Genotype,DOB,Age,Designation,CAGE COUNTER,
,,,,,,,,,,,,,
1,B9,56BF,Syt3_56B_F1_Rn,Syt3,56B,F1,Rn,+/-,11/16/2021,261,,1,Injected with Dlight 12/21/2021 in striatum on left side
1,B9,56BF,Syt3_56B_F2_Ln,Syt3,56B,F2,Ln,+/-,11/16/2021,261,,0,Injected with Dlight 12/21/2021 in striatum on right side
1,B9,56BF,Syt3_56B_F3_RnLn,Syt3,56B,F3,RnLn,+/-,11/16/2021,261,,0,
1,B5,55BM,Syt3_55B_M4_RnRn,Syt3,55B,M4,RnRn,+/+,11/26/2021,251,,1,Injected with Dlight 1/18/2022 in striatum on right dide
1,B5,55BM,Syt3_55B_M5_LnLn,Syt3,55B,M5,LnLn,+/+,11/26/2021,251,,0,Injected with Dlight 1/18/2022 in striatum on left side
1,,54CF,Syt3_54C_F1_Rn,Syt3,54C,F1,Rn,+/+,12/13/2021,234,,1,Injected with dLight 1/31/2022 in midbrain bilaterally 
1,,54CF,Syt3_54C_F2_Ln,Syt3,54C,F2,Ln,+/+,12/13/2021,234,,0,Injected with dLight 1/31/2022 in midbrain bilaterally 
1,,54CF,Syt3_54C_F3_RnLn,Syt3,54C,F3,RnLn,+/+,12/13/2021,234,,0,Injected with dLight 1/31/2022 in midbrain bilaterally 
1,B7,58EF,Syt3_58E_F4_RnRn,Syt3,58E,F4,RnRn,+/-,4/5/2022,121,,1,
1,B7,58EF,Syt3_58E_F5_LnLn,Syt3,58E,F5,LnLn,+/-,4/5/2022,121,,0,
1,B8,63BF.1,Syt3_63B_F1_Rn,Syt3,63B,F1,Rn,+/+,4/2/2022,124,,1,
1,B8,63BF.1,Syt3_63B_F2_Ln,Syt3,63B,F2,Ln,+/+,4/2/2022,124,,0,
1,B8,63BF.1,Syt3_63B_F3_RnLn,Syt3,63B,F3,RnLn,+/+,4/2/2022,124,,0,
1,B8,63BF.2,Syt3_63B_F4_Rn,Syt3,63B,F4,Rn,+/+,4/2/2022,124,,1,
1,B8,63BF.2,Syt3_63B_F5_Ln,Syt3,63B,F5,Ln,+/+,4/2/2022,124,,0,
1,B8,63BF.2,Syt3_63B_F6_RnLn,Syt3,63B,F6,RnLn,+/+,4/2/2022,124,,0,
1,B8,63BM,Syt3_63B_M1_Rn,Syt3,63B,M1,Rn,+/+,4/2/2022,124,,1,
1,B8,63BM,Syt3_63B_M2_Ln,Syt3,63B,M2,Ln,+/+,4/2/2022,124,,0,
1,B8,63BM,Syt3_63B_M3_RnLn,Syt3,63B,M3,RnLn,+/+,4/2/2022,124,,0,
1,B8,63BM,Syt3_63B_M4_RnRn,Syt3,63B,M4,RnRn,+/+,4/2/2022,124,,0,
1,B7,69AM,Syt3_69A_M1_Rn,Syt3,69A,M1,Rn,+/-,5/13/2022,83,,1,
1,B7,69AM,Syt3_69A_M2_Ln,Syt3,69A,M2,Ln,+/-,5/13/2022,83,,0,
1,B7,63DF,Syt3_63D_F1_,Syt3,63D,F1,,+/+,5/17/2022,79,,1,
1,B7,63DF,Syt3_63D_F2_,Syt3,63D,F2,,+/+,5/17/2022,79,,0,
1,B7,63DM.1,Syt3_63D_M1_,Syt3,63D,M1,,+/+,5/17/2022,79,,1,
1,B7,63DM.1,Syt3_63D_M2_,Syt3,63D,M2,,+/+,5/17/2022,79,,0,
1,B7,63DM.1,Syt3_63D_M3_,Syt3,63D,M3,,+/+,5/17/2022,79,,0,
1,B7,63DM.1,Syt3_63D_M4_,Syt3,63D,M4,,+/+,5/17/2022,79,,0,
1,B7,63DM.2,Syt3_63D_M5_,Syt3,63D,M5,,+/+,5/17/2022,79,,1,
1,B7,63DM.2,Syt3_63D_M6_,Syt3,63D,M6,,+/+,5/17/2022,79,,0,
1,B7,62EF,Syt3_62E_F1_,Syt3,62E,F1,,+/+,6/3/2022,62,,1,
1,B7,62EF,Syt3_62E_F2_,Syt3,62E,F2,,+/+,6/3/2022,62,,0,
1,B7,62EM,Syt3_62E_M1_,Syt3,62E,M1,,+/+,6/3/2022,62,,1,
1,B7,62EM,Syt3_62E_M2_,Syt3,62E,M2,,+/+,6/3/2022,62,,0,
1,B7,63EF,Syt3_63E_F1_,Syt3,63E,F1,,+/+,6/28/2022,37,PG,1,
1,B7,63EF,Syt3_63E_F2_,Syt3,63E,F2,,+/+,6/28/2022,37,PG,0,
1,B7,63EF,Syt3_63E_F3_,Syt3,63E,F3,,+/+,6/28/2022,37,PG,0,
1,B7,63EF,Syt3_63E_F4_,Syt3,63E,F4,,+/+,6/28/2022,37,PG,0,
1,B7,63EM,Syt3_63E_M1_,Syt3,63E,M1,,+/+,6/28/2022,37,PG,1,
1,B7,63EM,Syt3_63E_M2_,Syt3,63E,M2,,+/+,6/28/2022,37,PG,0,
1,B7,63EM,Syt3_63E_M3_,Syt3,63E,M3,,+/+,6/28/2022,37,PG,0,
1,B7,63EM,Syt3_63E_M4_,Syt3,63E,M4,,+/+,6/28/2022,37,PG,0,
1,,,Syt3___,Syt3,,,,,,-,,,
1,,,Syt3___,Syt3,,,,,,-,,,
1,,,,Syt3,,,,,,-,,,
1,,,,,,,,,,-,,,
1,,,,,,,,,,-,,,
1,,,,,,,,,,-,,,
1,,,,,,,,,,-,,,
1,,,,,,,,,,-,,,
1,,,,,,,,,,-,,,
1,,,,,,,,,,-,,,
1,,,,,,,,,,,,,
1,,,,,,,,,,,,,
1,,,,,,,,,,,,,
1,,,,,,,,,,,,,
1,,,,,,,,,,,,,
