   ,Rack no.,,MATINGS,HISTORY,,,CAGE COUNT:,,,21,SAC ANIMAL: Ctrl + D,,,,,,,
SAC,,Cage Tag,Unique ID,Mouseline,ID,Sex,Ear notch,Genotype,DOB,Age,Designation,CAGE COUNTER,,,,,,
1,B5,51CM,Syt8_51C_M4_RnRn,Syt8,51C,M4,RnRn,+/-,09/10/2021,328,,0,Injected with Dlight 12/21/2021 in striatum on right side,,,,,Ready to use for dLight
1,A6,53BM.2,Syt7_53B_M9_RnRn,Syt7,53B,M9,RnRn,-/-,12/19/2021,228,,0,Injected with DLight 2/1/2022 in midbrain bilaterally ,,,,,
1,,54AF,Syt7_54A_F1_Rn,Syt7,54A,F1,Rn,-/-,12/3/2021,244,,1,Injected with DLight 1/17/2022 in striatum on right side,,,,,
1,,54AF,Syt7_54A_F2_Ln,Syt7,54A,F2,Ln,-/-,12/3/2021,244,,0,Injected with DLight 1/17/2022 in striatum on left side,,,,,
1,,57AM,Syt7_57A_M1_Rn,Syt7,57A,M1,Rn,+/+,1/7/2022,209,,1,RAM,CL,,Milana Behavior,,
1,,57AM,Syt7_57A_M2_Ln,Syt7,57A,M2,Ln,+/+,1/7/2022,209,,0,RAM,CL,,Milana Behavior,,
1,,57AM,Syt7_57A_M3_RnLn,Syt7,57A,M3,RnLn,+/+,1/7/2022,209,,0,RAM,CL,,Milana Behavior,,
1,,57AM,Syt7_57A_M4_Rn,Syt7,57A,M4,Rn,+/+,1/7/2022,209,,1,RAM,CL,,Milana Behavior,,
1,,57AM,Syt7_57A_M5_Ln,Syt7,57A,M5,Ln,+/+,1/7/2022,209,,0,RAM,CL,,Milana Behavior,,
1,,57AM,Syt7_57A_M6_RnLn,Syt7,57A,M6,RnLn,+/+,1/7/2022,209,,0,RAM,CL,,Milana Behavior,,
1,,53CM,Syt7_53C_M1_Rn,Syt7,53C,M1,Rn,-/-,1/10/2022,206,,1,RAM,CL,,Milana Behavior,,
